data,hora,n_placar_visitante,n_placar_casa,c_nome_estadio,c_time_casa,c_time_visitante,n_rodada,d_ano_campeonato
2023-04-15,16:01,1,2,Allianz Parque,Palmeiras,Cuiaba,1,2023
2023-04-15,16:02,3,0,Estádio Raimundo Sampaio,America-MG,Fluminense,1,2023
2023-04-15,18:31,1,2,Nabizão,Bragantino,Bahia,1,2023
2023-04-15,18:31,0,2,Ligga Arena,Athletico-PR,Goias,1,2023
2023-04-15,18:32,1,1,Arena Castelão,Fortaleza,Internacional,1,2023
2023-04-15,18:33,1,2,Estádio Nilton Santos,Botafogo-RJ,Sao Paulo,1,2023
2023-04-15,21:00,2,1,Mineirão,Atletico-MG,Vasco,1,2023
2023-04-16,16:00,0,3,Maracanã,Flamengo,Coritiba,1,2023
2023-04-16,16:03,1,2,Neo Química Arena,Corinthians,Cruzeiro,1,2023
2023-04-16,18:30,0,1,Alfredo Jaconi,Gremio,Santos,1,2023
2023-04-22,16:00,0,2,Maracanã,Fluminense,Athletico-PR,2,2023
2023-04-22,18:30,1,1,Arena Pantanal,Cuiaba,Bragantino,2,2023
2023-04-22,18:31,0,3,Morumbi,Sao Paulo,America-MG,2,2023
2023-04-22,20:59,0,1,Estádio Raimundo Sampaio,Cruzeiro,Gremio,2,2023
2023-04-23,11:01,1,2,Estádio Beira-Rio,Internacional,Flamengo,2,2023
2023-04-23,16:00,0,0,Estádio Urbano Caldeira,Santos,Atletico-MG,2,2023
2023-04-23,16:00,2,2,Maracanã,Vasco,Palmeiras,2,2023
2023-04-23,18:31,3,0,Couto Pereira,Coritiba,Fortaleza,2,2023
2023-04-23,19:00,1,3,Estádio Hailé Pinheiro - Serrinha,Goias,Corinthians,2,2023
2023-04-24,20:00,2,1,Itaipava Arena Fonte Nova,Bahia,Botafogo-RJ,2,2023
2023-04-29,16:30,1,1,Couto Pereira,Coritiba,Sao Paulo,3,2023
2023-04-29,16:31,2,4,Arena Castelão,Fortaleza,Fluminense,3,2023
2023-04-29,18:30,1,2,Allianz Parque,Palmeiras,Corinthians,3,2023
2023-04-29,18:30,2,3,Estádio Urbano Caldeira,Santos,America-MG,3,2023
2023-04-29,18:30,3,0,Nabizão,Bragantino,Cruzeiro,3,2023
2023-04-29,21:00,1,2,Estádio Raimundo Sampaio,Atletico-MG,Athletico-PR,3,2023
2023-04-30,16:00,3,2,Maracanã,Flamengo,Botafogo-RJ,3,2023
2023-04-30,18:30,2,1,Arena Pantanal,Cuiaba,Gremio,3,2023
2023-04-30,18:32,0,1,Estádio Beira-Rio,Internacional,Goias,3,2023
2023-05-01,20:00,1,0,Estádio São Januário,Vasco,Bahia,3,2023
2023-05-06,16:00,1,2,Estádio Raimundo Sampaio,Cruzeiro,Santos,4,2023
2023-05-06,21:01,1,1,Maracanã,Fluminense,Vasco,4,2023
2023-05-07,11:01,2,1,Estádio Raimundo Sampaio,America-MG,Cuiaba,4,2023
2023-05-07,16:00,1,3,Itaipava Arena Fonte Nova,Bahia,Coritiba,4,2023
2023-05-07,16:00,1,2,Ligga Arena,Athletico-PR,Flamengo,4,2023
2023-05-07,16:02,0,2,Morumbi,Sao Paulo,Internacional,4,2023
2023-05-07,18:30,3,3,Arena do Grêmio,Gremio,Bragantino,4,2023
2023-05-07,18:30,0,2,Estádio Nilton Santos,Botafogo-RJ,Atletico-MG,4,2023
2023-05-07,18:31,5,0,Estádio Hailé Pinheiro - Serrinha,Goias,Palmeiras,4,2023
2023-05-08,20:00,1,1,Neo Química Arena,Corinthians,Fortaleza,4,2023
2023-05-10,18:59,0,3,Estádio Urbano Caldeira,Santos,Bahia,5,2023
2023-05-10,19:00,2,0,Estádio Beira-Rio,Internacional,Athletico-PR,5,2023
2023-05-10,19:00,2,2,Nabizão,Bragantino,America-MG,5,2023
2023-05-10,19:59,4,0,Arena Pantanal,Cuiaba,Atletico-MG,5,2023
2023-05-10,20:00,0,2,Maracanã,Flamengo,Goias,5,2023
2023-05-10,21:29,2,0,Mineirão,Cruzeiro,Fluminense,5,2023
2023-05-10,21:29,1,4,Allianz Parque,Palmeiras,Gremio,5,2023
2023-05-11,19:00,1,1,Couto Pereira,Coritiba,Vasco,5,2023
2023-05-11,19:30,0,3,Estádio Nilton Santos,Botafogo-RJ,Corinthians,5,2023
2023-05-11,20:00,0,0,Arena Castelão,Fortaleza,Sao Paulo,5,2023
2023-05-13,16:00,3,2,Itaipava Arena Fonte Nova,Bahia,Flamengo,6,2023
2023-05-13,18:30,0,2,Maracanã,Fluminense,Cuiaba,6,2023
2023-05-13,18:30,1,1,Allianz Parque,Palmeiras,Bragantino,6,2023
2023-05-13,21:00,0,2,Mineirão,Atletico-MG,Internacional,6,2023
2023-05-14,16:00,0,0,Arena do Grêmio,Gremio,Fortaleza,6,2023
2023-05-14,16:00,1,0,Estádio São Januário,Vasco,Santos,6,2023
2023-05-14,16:02,1,1,Neo Química Arena,Corinthians,Sao Paulo,6,2023
2023-05-14,18:29,2,3,Ligga Arena,Athletico-PR,Coritiba,6,2023
2023-05-14,18:29,4,0,Estádio Raimundo Sampaio,America-MG,Cruzeiro,6,2023
2023-05-14,18:30,1,2,Estádio Hailé Pinheiro - Serrinha,Goias,Botafogo-RJ,6,2023
2023-05-20,16:02,1,1,Itaipava Arena Fonte Nova,Bahia,Goias,7,2023
2023-05-20,18:30,0,2,Nabizão,Bragantino,Athletico-PR,7,2023
2023-05-20,18:30,2,4,Morumbi,Sao Paulo,Vasco,7,2023
2023-05-20,18:30,1,2,Estádio Raimundo Sampaio,America-MG,Fortaleza,7,2023
2023-05-20,18:30,0,1,Estádio Nilton Santos,Botafogo-RJ,Fluminense,7,2023
2023-05-20,18:31,2,1,Couto Pereira,Coritiba,Atletico-MG,7,2023
2023-05-20,21:00,0,0,Estádio Urbano Caldeira,Santos,Palmeiras,7,2023
2023-05-21,16:00,0,1,Maracanã,Flamengo,Corinthians,7,2023
2023-05-21,18:31,1,3,Arena do Grêmio,Gremio,Internacional,7,2023
2023-05-22,20:00,1,0,Estádio Joaquim Henrique Nogueira-Arena do jacaré,Cruzeiro,Cuiaba,7,2023
2023-05-27,16:00,2,1,Ligga Arena,Athletico-PR,Gremio,8,2023
2023-05-27,16:02,0,2,Arena Castelão,Fortaleza,Vasco,8,2023
2023-05-27,18:31,1,1,Maracanã,Flamengo,Cruzeiro,8,2023
2023-05-27,18:32,1,1,Arena Pantanal,Cuiaba,Coritiba,8,2023
2023-05-27,21:02,1,2,Morumbi,Sao Paulo,Goias,8,2023
2023-05-28,16:02,0,2,Estádio Beira-Rio,Internacional,Bahia,8,2023
2023-05-28,16:04,0,2,Neo Química Arena,Corinthians,Fluminense,8,2023
2023-05-28,18:31,0,2,Nabizão,Bragantino,Santos,8,2023
2023-05-28,18:32,1,1,Mineirão,Atletico-MG,Palmeiras,8,2023
2023-05-28,19:01,0,2,Estádio Nilton Santos,Botafogo-RJ,America-MG,8,2023
2023-06-03,16:00,0,0,Arena Castelão,Fortaleza,Bahia,9,2023
2023-06-03,18:30,0,1,Ligga Arena,Athletico-PR,Botafogo-RJ,9,2023
2023-06-03,18:30,1,0,Estádio Municipal Parque do Sabiá,Cruzeiro,Atletico-MG,9,2023
2023-06-03,18:33,0,2,Estádio Raimundo Sampaio,America-MG,Corinthians,9,2023
2023-06-03,21:01,1,1,Estádio Urbano Caldeira,Santos,Internacional,9,2023
2023-06-04,16:00,1,2,Maracanã,Fluminense,Bragantino,9,2023
2023-06-04,16:01,1,2,Arena do Grêmio,Gremio,Sao Paulo,9,2023
2023-06-04,18:29,1,0,Estádio Hailé Pinheiro - Serrinha,Goias,Cuiaba,9,2023
2023-06-04,18:29,1,3,Allianz Parque,Palmeiras,Coritiba,9,2023
2023-06-05,20:00,4,1,Maracanã,Vasco,Flamengo,9,2023
2023-06-10,16:03,0,0,Couto Pereira,Coritiba,Santos,10,2023
2023-06-10,18:30,1,1,Mineirão,Atletico-MG,Bragantino,10,2023
2023-06-10,18:31,2,2,Itaipava Arena Fonte Nova,Bahia,Cruzeiro,10,2023
2023-06-10,18:32,1,1,Neo Química Arena,Corinthians,Cuiaba,10,2023
2023-06-10,21:00,0,2,Estádio Nilton Santos,Botafogo-RJ,Fortaleza,10,2023
2023-06-11,11:00,2,2,Mineirão,America-MG,Athletico-PR,10,2023
2023-06-11,16:00,2,0,Morumbi,Sao Paulo,Palmeiras,10,2023
2023-06-11,16:00,1,2,Estádio Beira-Rio,Internacional,Vasco,10,2023
2023-06-11,18:30,0,3,Maracanã,Flamengo,Gremio,10,2023
2023-06-11,18:30,2,2,Estádio Hailé Pinheiro - Serrinha,Goias,Fluminense,10,2023
2023-06-21,19:00,1,0,Mineirão,Cruzeiro,Fortaleza,11,2023
2023-06-21,19:01,1,2,Morumbi,Sao Paulo,Athletico-PR,11,2023
2023-06-21,20:01,2,0,Estádio Urbano Caldeira,Santos,Corinthians,11,2023
2023-06-21,21:31,1,1,Estádio Municipal General Raulino de Oliveira,Fluminense,Atletico-MG,11,2023
2023-06-21,21:31,0,1,Itaipava Arena Fonte Nova,Bahia,Palmeiras,11,2023
2023-06-22,19:01,1,3,Arena do Grêmio,Gremio,America-MG,11,2023
2023-06-22,20:00,1,0,Arena Pantanal,Cuiaba,Botafogo-RJ,11,2023
2023-06-22,20:00,1,0,Estádio São Januário,Vasco,Goias,11,2023
2023-06-22,20:02,1,0,Couto Pereira,Coritiba,Internacional,11,2023
2023-06-22,21:29,0,4,Nabizão,Bragantino,Flamengo,11,2023
2023-06-24,15:59,0,1,Ligga Arena,Athletico-PR,Corinthians,12,2023
2023-06-24,18:30,1,2,Maracanã,Fluminense,Bahia,12,2023
2023-06-24,18:30,1,2,Arena Castelão,Fortaleza,Atletico-MG,12,2023
2023-06-24,21:00,0,1,Estádio Raimundo Sampaio,Cruzeiro,Sao Paulo,12,2023
2023-06-25,16:00,1,0,Allianz Parque,Palmeiras,Botafogo-RJ,12,2023
2023-06-25,16:01,1,5,Arena do Grêmio,Gremio,Coritiba,12,2023
2023-06-25,18:29,0,2,Nabizão,Bragantino,Goias,12,2023
2023-06-25,18:30,2,1,Estádio Raimundo Sampaio,America-MG,Internacional,12,2023
2023-06-25,18:30,3,2,Estádio Urbano Caldeira,Santos,Flamengo,12,2023
2023-06-26,21:00,0,1,Luso-Brasileiro,Vasco,Cuiaba,12,2023
2023-07-01,16:01,0,1,Morumbi,Sao Paulo,Fluminense,13,2023
2023-07-01,18:30,0,2,Maracanã,Flamengo,Fortaleza,13,2023
2023-07-01,18:30,2,1,Itaipava Arena Fonte Nova,Bahia,Gremio,13,2023
2023-07-01,21:00,0,0,Estádio Beira-Rio,Internacional,Cruzeiro,13,2023
2023-07-02,11:00,1,0,Neo Química Arena,Corinthians,Bragantino,13,2023
2023-07-02,16:00,0,2,Estádio Nilton Santos,Botafogo-RJ,Vasco,13,2023
2023-07-02,16:00,2,2,Mineirão,Atletico-MG,America-MG,13,2023
2023-07-02,16:00,2,2,Ligga Arena,Athletico-PR,Palmeiras,13,2023
