e_tipo,n_minuto_cartao,id_jogador,id_jogo
Amarelo,66,1976,1
Amarelo,44,1935,1
Amarelo,72,1268,2
Amarelo,86,2938,2
Amarelo,10,3745,2
Amarelo,20,1932,2
Amarelo,82,3674,2
Amarelo,76,1933,3
Amarelo,78,1934,4
Amarelo,41,3728,4
Amarelo,91,2353,4
Amarelo,46,1954,4
Amarelo,60,1955,4
Amarelo,39,1956,4
Amarelo,48,1957,4
Amarelo,22,1958,4
Amarelo,67,1959,5
Amarelo,31,1960,5
Amarelo,30,1947,5
Amarelo,38,1948,6
Amarelo,62,1949,6
Amarelo,72,1950,6
Amarelo,47,1951,8
Amarelo,31,1952,8
Amarelo,72,1953,8
Amarelo,37,3673,8
Amarelo,24,1941,8
Amarelo,69,3680,8
Amarelo,91,2100,9
Amarelo,55,1942,9
Amarelo,75,1943,9
Amarelo,43,1944,9
Amarelo,91,1945,10
Amarelo,26,1946,10
Amarelo,72,3513,10
Amarelo,29,3509,10
Amarelo,72,1936,10
Amarelo,22,1937,10
Amarelo,56,3751,10
Amarelo,92,1938,10
Amarelo,56,1939,11
Amarelo,47,1940,11
Amarelo,81,3733,11
Amarelo,17,1987,11
Amarelo,52,1988,11
Amarelo,89,3782,11
Amarelo,79,1566,11
Amarelo,73,1989,12
Amarelo,86,1937,12
Amarelo,64,1990,12
Amarelo,73,3761,13
Amarelo,10,1984,13
Amarelo,70,1985,14
Amarelo,91,1986,14
Amarelo,23,1960,14
Amarelo,82,2018,15
Amarelo,93,2065,15
Amarelo,66,3780,15
Vermelho,93,1979,15
Amarelo,52,2826,15
Amarelo,82,509,15
Amarelo,16,1980,15
Vermelho,42,1952,16
Amarelo,26,1981,16
Amarelo,37,1982,16
Amarelo,7,1983,16
Amarelo,69,2228,17
Amarelo,53,1975,17
Amarelo,73,3730,18
Amarelo,35,1976,18
Amarelo,32,1977,18
Amarelo,70,1935,18
Amarelo,66,1956,18
Amarelo,45,1978,19
Amarelo,90,3701,19
Amarelo,41,2003,19
Vermelho,87,2004,19
Amarelo,54,2004,19
Amarelo,34,2005,19
Amarelo,51,2006,19
Amarelo,18,3512,20
Vermelho,47,1984,21
Amarelo,74,1997,21
Amarelo,27,1998,21
Amarelo,77,1999,21
Amarelo,60,2000,21
Amarelo,92,2001,21
Amarelo,71,2002,21
Amarelo,26,3733,22
Amarelo,29,1950,22
Amarelo,76,1994,23
Amarelo,23,2229,23
Amarelo,52,1940,23
Amarelo,53,1995,23
Amarelo,58,1996,23
Amarelo,36,1988,23
Amarelo,90,1259,24
Amarelo,61,3706,24
Amarelo,85,3781,25
Amarelo,72,1991,25
Amarelo,31,3693,25
Vermelho,30,1992,25
Amarelo,82,1935,25
Amarelo,47,1976,25
Amarelo,25,1992,25
Amarelo,77,1993,26
Amarelo,92,3747,26
Amarelo,57,2020,26
Amarelo,51,3671,26
Amarelo,91,2009,26
Amarelo,41,1945,26
Amarelo,81,3675,27
Amarelo,8,2021,27
Amarelo,94,2022,27
Amarelo,45,2015,27
Amarelo,12,2016,27
Amarelo,5,2017,27
Amarelo,56,2018,27
Amarelo,13,3519,27
Amarelo,81,509,28
Amarelo,48,2019,28
Amarelo,57,1932,28
Amarelo,37,1942,28
Amarelo,80,1975,29
Amarelo,19,2011,29
Amarelo,25,2012,29
Amarelo,23,2013,29
Amarelo,43,183,29
Amarelo,15,2014,29
Amarelo,92,1763,30
Amarelo,93,3680,30
Amarelo,67,3692,30
Amarelo,87,1937,31
Amarelo,30,2007,31
Amarelo,73,3669,31
Amarelo,34,2008,31
Amarelo,88,2009,31
Amarelo,47,2010,31
Amarelo,28,2030,31
Amarelo,69,3716,31
Amarelo,15,2031,31
Amarelo,57,1980,32
Amarelo,63,2032,32
Amarelo,71,509,32
Amarelo,30,2033,32
Amarelo,68,2022,33
Amarelo,69,3512,33
Amarelo,36,3696,33
Amarelo,85,3703,33
Amarelo,47,3510,33
Amarelo,27,3700,33
Vermelho,95,2029,34
Amarelo,93,3075,34
