n_minuto_gol,id_jogador,id_jogo
52,624,1
5,540,1
65,134,1
52,80,2
60,551,2
72,599,2
70,37,3
45,19,3
54,3842,3
36,854,4
57,83,4
56,874,5
54,49,5
4,139,6
88,459,6
15,315,6
10,560,7
50,530,7
5,840,7
12,361,8
95,428,8
56,308,8
68,3854,9
87,825,9
95,728,9
44,297,10
67,566,11
11,82,11
67,885,12
86,353,12
21,127,13
82,315,13
95,816,13
64,675,14
98,636,15
63,93,15
67,636,15
46,903,17
62,684,17
29,876,17
40,560,17
91,51,18
51,805,18
83,51,18
17,825,19
31,879,19
80,656,19
94,610,19
41,781,20
29,492,20
78,344,20
12,750,21
81,816,21
29,588,22
47,3852,22
35,874,22
69,551,22
60,874,22
79,379,22
16,198,23
76,3853,23
36,434,23
7,678,24
49,633,24
19,755,24
40,902,24
69,695,24
87,675,25
1,171,25
64,773,25
10,273,26
84,273,26
92,757,26
58,255,27
30,139,27
86,255,27
71,139,27
50,290,27
29,239,28
10,894,28
68,500,28
52,705,29
44,235,30
21,725,31
62,725,31
57,869,31
55,82,32
1,876,32
85,3849,33
12,831,33
92,827,33
65,441,34
68,653,34
63,895,34
16,3851,34
29,757,35
15,308,35
80,175,35
70,701,36
33,127,36
62,500,37
9,36,37
53,37,37
6,377,37
56,641,37
91,353,37
30,712,38
60,568,38
48,3850,39
83,540,39
90,1072,39
10,684,39
78,434,39
88,266,40
79,785,40
51,869,41
4,860,41
14,755,41
79,83,42
96,3821,42
78,831,43
33,394,43
44,394,43
15,831,43
72,710,44
87,383,44
51,273,44
13,843,44
49,707,45
8,428,45
54,80,46
44,81,46
47,900,47
24,434,47
68,111,47
73,676,47
56,434,47
49,873,48
80,494,48
81,459,49
65,139,49
12,139,49
49,203,51
35,441,51
29,308,51
51,283,51
23,1039,51
6,566,52
56,81,52
71,123,53
65,684,53
3,241,54
95,383,54
29,860,56
15,349,57
50,825,57
20,663,58
49,174,58
66,616,58
91,3821,58
97,10,58
33,837,59
70,39,59
84,773,59
91,773,59
50,627,60
57,628,60
33,139,60
25,19,61
31,627,61
16,37,62
86,353,62
24,315,63
45,700,63
42,339,63
83,889,63
89,620,63
92,669,63
33,743,64
26,473,64
2,572,64
74,685,65
13,616,66
91,273,66
37,843,66
94,255,68
7,641,69
31,197,69
65,900,69
87,623,69
37,655,70
34,757,71
31,758,71
49,803,71
87,588,72
94,805,72
33,361,73
5,39,73
3,101,74
49,616,74
29,628,75
57,701,75
91,650,75
99,49,76
49,623,76
59,825,77
92,825,77
75,123,78
31,395,78
45,710,79
52,1072,79
3,492,80
60,999,80
42,516,82
27,273,83
87,858,84
74,679,84
12,640,85
3,637,85
27,81,86
34,233,86
54,353,86
15,315,87
39,3,87
31,377,87
54,655,88
73,469,89
83,824,89
30,684,89
34,469,89
42,428,90
58,117,90
47,361,90
14,113,90
16,93,90
17,383,92
35,37,92
30,675,93
46,725,93
18,841,93
66,3848,93
81,660,94
55,655,94
48,139,95
63,139,95
76,716,96
96,679,96
9,757,96
48,83,96
11,215,97
78,540,97
29,406,98
3,357,98
16,49,98
24,451,99
65,428,99
97,268,99
85,584,100
2,80,100
45,879,100
47,82,100
80,256,101
19,651,102
47,127,102
11,757,102
28,660,103
19,266,103
35,996,104
46,259,104
93,235,105
69,641,106
25,679,106
40,3847,106
61,197,106
60,139,107
73,657,108
66,569,109
49,393,110
81,393,110
76,604,110
40,165,110
36,757,111
49,599,112
51,905,112
28,765,112
62,271,113
87,832,113
54,473,113
3,3846,114
28,139,115
54,900,116
34,377,116
66,641,116
84,867,116
48,197,116
41,824,116
7,37,117
47,681,117
19,762,118
63,851,118
85,884,118
52,577,119
22,451,119
50,707,119
40,755,119
57,113,119
77,117,120
87,127,121
64,254,122
14,308,122
20,841,123
9,377,123
95,365,123
17,37,125
54,999,126
95,3845,126
28,273,127
58,764,127
72,764,127
2,144,127
22,540,128
57,215,128
67,690,128
73,757,128
86,665,129
53,655,129
75,194,129
69,880,130
26,824,130
43,617,130
51,3844,131
18,655,131
49,468,132
40,825,133
8,762,134
40,824,134
44,616,134
96,740,134
24,1072,135
81,254,135
30,695,136
46,755,136
94,755,136
61,583,136
40,583,136
16,695,136
81,801,136
25,80,138
40,227,138
84,51,139
88,3845,140
75,459,140
48,459,141
60,683,141
19,655,143
46,315,145
93,695,145
79,650,145
88,2227,145
22,315,145
35,175,146
24,757,146
8,200,149
76,434,149
45,256,149
96,842,149
95,524,150
84,743,150
78,104,151
99,652,151
66,238,151
11,787,153
28,801,155
87,597,156
24,695,156
81,695,156
84,139,156
80,690,157
71,83,157
24,616,158
28,644,158
77,80,159
37,552,160
41,292,160
82,725,160
78,174,160
87,38,160
8,552,160
88,655,161
16,430,161
44,624,161
