n_minuto_gol,id_jogador,id_jogo
31,2150,1
59,4201,1
45,1259,1
6,509,2
63,1958,4
80,2016,4
90,2029,4
22,2080,5
56,1994,5
13,1995,5
16,1984,6
80,2063,9
73,1943,9
88,1938,10
12,3757,10
83,2169,10
45,2150,12
78,3772,13
83,814,13
11,3683,13
36,2041,13
50,3748,14
92,1995,14
9,2052,15
35,2052,15
64,3496,15
75,3763,15
9,2012,16
80,602,16
12,2142,17
38,2019,17
37,3764,17
8,3675,18
74,1956,18
11,2005,19
22,3765,19
84,3766,19
82,2031,20
75,2001,21
40,814,21
36,1958,21
83,2029,21
24,3562,21
72,2225,23
30,1095,23
61,2043,23
22,2229,23
54,4200,24
83,4200,24
88,1989,24
14,3513,25
50,2262,26
31,2009,26
60,2067,26
73,2067,26
14,2652,26
11,2007,26
59,2223,27
46,509,28
78,1639,28
13,1268,28
78,1983,29
69,2064,30
16,2030,31
32,2009,31
67,470,32
52,2056,32
54,1268,32
23,3496,33
73,3767,33
52,3496,33
81,4174,33
55,3767,33
57,3767,33
37,2029,34
71,3701,34
55,2079,34
65,2023,35
92,3715,35
30,2023,35
11,1259,36
87,2105,36
81,1994,37
49,183,37
62,4197,38
44,2063,38
86,2142,39
91,1955,40
39,3706,40
54,2141,41
70,4196,41
69,4190,42
23,2069,42
11,2103,42
55,2171,42
46,2103,42
23,2082,43
91,2082,43
37,1978,44
48,2261,45
88,3715,46
71,1998,46
49,2137,48
81,3701,49
38,4198,49
75,3701,49
92,2016,50
11,2652,50
75,2069,51
21,2073,51
51,2103,52
77,2029,52
23,3513,53
26,2342,54
76,2150,54
42,3754,54
45,2229,54
66,3754,54
53,4194,54
73,1989,54
6,3763,55
44,1978,55
81,3648,55
85,2132,56
59,2060,56
9,2099,57
39,4198,57
26,2008,57
69,2525,57
37,2009,58
17,4199,59
62,900,59
65,3683,59
90,3734,59
12,2109,59
4,3516,60
61,3758,61
28,3722,62
20,2014,62
55,2060,62
68,2014,62
38,2060,62
56,2056,63
58,4192,63
5,3669,64
88,2029,66
39,2072,66
43,2103,66
70,1954,66
43,3496,67
69,3683,67
47,4191,68
42,3715,68
58,3696,71
61,2098,72
94,3763,72
25,2073,73
79,2073,73
68,1983,75
53,2109,76
65,2217,76
90,2173,77
92,1994,77
76,2342,77
30,3737,77
20,2067,78
22,3717,78
62,3733,79
89,637,79
5,2069,80
15,3503,80
44,2110,80
90,4195,81
79,2176,81
11,1994,81
48,1943,82
71,2232,84
86,1977,84
54,2166,84
46,4190,85
16,2103,85
18,2038,85
18,4189,86
11,2063,86
31,2172,87
22,2243,87
93,2132,88
74,3717,88
47,2132,88
53,2132,88
25,2060,89
87,2018,89
73,2357,90
44,1943,92
69,3717,93
5,1935,93
20,2132,94
61,1998,94
35,2102,94
20,2259,95
13,2342,95
84,1990,96
85,4193,96
40,3757,96
59,3757,96
67,3700,96
24,2323,97
69,1566,97
91,2135,98
7,1983,98
10,183,98
62,4188,99
76,2038,99
92,3500,99
72,2103,99
57,3764,100
4,3714,101
66,2239,102
25,1934,102
12,2098,103
54,3743,104
8,2103,104
10,2312,104
48,1268,105
16,2052,105
58,2174,105
78,2033,105
59,2132,107
53,814,107
62,1990,109
79,2039,110
41,153,110
47,2299,110
50,2205,110
72,2103,110
80,4189,111
13,2320,111
52,2063,111
84,3500,112
90,3700,112
19,3736,112
67,3736,112
66,2149,113
51,2196,114
69,2077,114
85,2217,114
76,2194,115
44,2031,115
49,3746,115
91,2046,116
51,1983,116
18,2172,117
35,1990,117
65,2164,117
57,2023,118
94,2069,118
65,2023,118
49,1988,118
73,1988,118
33,2067,119
25,2018,120
60,2028,120
80,3703,121
74,2259,121
59,3736,122
77,3736,122
11,2023,122
61,2009,123
63,2170,123
7,1975,124
76,2199,125
84,2165,125
42,3778,125
20,4185,127
10,2164,127
57,2052,128
34,2006,129
56,2056,129
76,4183,129
87,4184,129
42,2168,130
93,2006,130
31,1956,132
82,2114,133
25,2057,133
85,3664,134
93,2132,135
46,2173,135
84,602,136
62,509,137
85,2135,137
87,2109,138
54,2009,138
44,2217,138
87,2076,139
39,2229,140
32,2259,140
47,3713,140
17,2229,140
77,4187,141
36,2170,142
43,602,142
49,3765,143
11,2140,143
17,2050,144
25,2029,145
48,2103,145
88,3748,145
60,2009,146
53,2229,146
89,2259,146
65,3767,148
68,3763,148
91,2199,149
25,4182,149
8,2109,149
74,2217,149
40,2197,150
25,1998,150
23,4186,151
33,1639,151
14,2009,151
2,2199,152
45,2256,153
67,2053,153
63,3503,154
18,2227,154
60,2369,156
65,1952,157
71,3664,157
10,2920,157
36,2082,158
22,1983,159
89,2324,159
65,2152,159
11,1953,159
78,2324,159
60,3669,159
85,2324,159
86,2039,160
82,2217,161
31,2200,162
14,2020,163
49,2023,164
62,1983,164
46,2023,164
78,3673,165
82,3664,165
75,3717,166
24,2082,167
88,2229,167
86,2063,167
80,1259,168
50,1990,168
35,2164,168
43,1259,168
25,2029,170
50,2028,171
11,2177,171
52,2029,171
70,2550,171
71,2029,171
58,2258,171
20,2243,172
52,2228,173
50,1943,173
63,3767,175
74,2014,176
43,1259,176
76,2342,177
48,2261,177
59,2023,178
39,2525,179
43,2525,179
84,2525,179
63,2173,179
40,3736,180
71,2067,180
33,2190,180
91,2140,181
74,2256,182
65,3683,182
47,2048,182
52,2048,182
70,2006,185
7,4181,186
26,2229,186
44,3748,187
17,1989,187
58,2029,187
14,3748,187
23,2164,187
88,3516,187
29,2244,189
53,2009,189
18,1268,190
51,3717,190
75,2165,190
76,2261,190
35,2148,190
92,2023,191
82,3635,192
39,3717,193
85,2164,193
53,1639,194
91,1639,194
25,2053,194
41,1639,194
14,2246,195
76,3707,195
1,1095,195
70,3670,196
23,2328,197
81,2229,197
8,2259,197
37,2081,197
20,3763,197
42,2081,197
8,3678,198
56,2274,198
14,2046,199
71,2103,200
54,2038,200
30,2138,200
35,1259,201
7,1259,201
63,1990,201
42,3166,202
87,3166,202
46,3715,202
83,2196,202
39,2311,203
88,2227,203
13,637,203
84,2223,204
18,2170,204
25,2170,204
65,1951,205
41,2033,206
59,2601,206
36,2342,207
71,2259,207
30,814,208
70,2457,208
63,2238,210
67,3683,211
71,3677,211
76,3674,211
19,2164,211
27,2258,212
55,2029,212
63,1935,214
46,3513,214
31,4180,215
29,3496,215
43,3496,215
73,2223,215
90,3501,215
63,3707,216
86,3707,216
46,2224,216
60,2386,216
69,1383,217
13,2411,217
32,2067,217
48,2247,217
50,4178,218
10,2279,218
79,2525,219
45,2276,219
93,3669,219
18,2160,219
42,2160,219
81,2052,221
68,3757,222
37,3763,222
39,2276,223
91,2276,223
41,2217,223
47,2103,223
52,2258,223
9,3713,224
53,2242,224
6,2170,224
45,1259,225
27,3664,225
36,665,226
45,2203,226
66,665,226
74,1983,226
6,2081,226
75,2196,227
12,3497,228
90,3672,228
27,2525,228
37,2064,228
7,2141,228
49,1953,228
8,2024,229
41,2256,230
57,2311,230
48,2261,230
89,637,230
52,1268,231
39,509,231
48,2601,231
62,2246,232
39,2038,232
8,2029,232
