,c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
0,Douglas,Moreira,17.0,1998-02-07,Meio-Campo,Gremio
1,Hugo,Souza,1.0,1999-01-31,Goleiro,Corinthians
2,Reinaldo,Silva,6.0,1984-05-25,Zagueiro,Gremio
3,Jose,Martinez,70.0,1999-04-05,Meio-Campo,Corinthians
4,Andre,Carrillo,19.0,1993-11-08,Meio-Campo,Corinthians
5,Matheus,Bidu,21.0,1999-05-04,Zagueiro,Corinthians
6,Miguel,Monsalve,11.0,1997-12-10,Meio-Campo,Gremio
7,Brahian,Palacios,30.0,1999-11-25,Atacante,Atletico-Mg
8,Igor,Gomes,17.0,1999-03-17,Meio-Campo,Atletico-Mg
9,Agustin,Canobbio,14.0,1998-10-01,Meio-Campo,Athletico-Pr
10,Thiago,Heleno,44.0,1988-09-19,Zagueiro,Athletico-Pr
11,Everson,,22.0,1990-07-22,Goleiro,Atletico-Mg
12,Carlos,Souza,96.0,1998-09-16,Atacante,Vitoria
13,Lucas,Souza,43.0,1998-01-06,Zagueiro,Vitoria
14,Adriel,,23.0,2001-01-14,Goleiro,Bahia
15,Yago,Rocha,20.0,1994-05-22,Meio-Campo,Bahia
16,Gonzalo,Freitas,5.0,1995-03-09,Meio-Campo,Atletico-Go
17,Nicolas,Acevedo,26.0,1999-11-12,Meio-Campo,Bahia
18,Everaldo,Stum,9.0,1996-06-17,Atacante,Bahia
19,Kaiki,Bruno,6.0,1998-11-17,Zagueiro,Cruzeiro
20,Gabriel,Veron,30.0,1998-12-15,Meio-Campo,Cruzeiro
21,Alan,Ruschel,28.0,1989-08-23,Zagueiro,Juventude
22,Marcelo,Filho,11.0,1991-05-02,Atacante,Juventude
23,Matheus,Pereira,10.0,2000-12-21,Atacante,Cruzeiro
24,Lucas,Barbosa,21.0,2001-02-22,Meio-Campo,Juventude
25,Walter,Artune,1.0,2000-04-11,Goleiro,Cuiaba
26,Ramon,Lima,23.0,1998-06-28,Zagueiro,Cuiaba
27,Facundo,Bernal,5.0,1996-02-02,Meio-Campo,Fluminense
28,Keno,,11.0,1989-09-10,Atacante,Fluminense
29,Eliel,,11.0,2001-11-16,Meio-Campo,Cuiaba
30,Alan,Empereur,33.0,1994-03-10,Zagueiro,Cuiaba
31,Kevin,Serna,90.0,1994-10-14,Meio-Campo,Fluminense
32,Vinicinho,,54.0,1999-06-14,Meio-Campo,Bragantino
33,Jadsom,,5.0,2001-05-20,Meio-Campo,Bragantino
34,Pedro,Goncalves,14.0,1991-05-18,Zagueiro,Bragantino
35,Matheus,Fernandes,35.0,1998-06-30,Meio-Campo,Bragantino
36,Eduardo,Sasha,19.0,1992-02-24,Atacante,Bragantino
37,Fernandinho,,5.0,1985-05-04,Meio-Campo,Athletico-Pr
38,Marlon,Xavier,3.0,1998-04-30,Zagueiro,Cruzeiro
39,Anderson,,98.0,1998-03-05,Goleiro,Cruzeiro
40,Vitor,Reis,44.0,2006-03-11,Zagueiro,Palmeiras
41,Ivaldo,,5.0,1993-04-16,Zagueiro,Cruzeiro
42,Alexander,Barboza,20.0,1994-10-19,Zagueiro,Botafogo-Rj
43,Sergio,Rochet,1.0,1994-08-29,Goleiro,Internacional
44,Alexandro,Bernabei,26.0,1993-04-02,Zagueiro,Internacional
45,Raul,,97.0,1996-07-11,Goleiro,Botafogo-Rj
46,Bruno,Corsini,8.0,1994-10-25,Meio-Campo,Internacional
47,Wesley,Silva,21.0,1992-12-11,Meio-Campo,Internacional
48,Wanderson,,11.0,1994-10-07,Atacante,Internacional
49,Tomas,Cardona,25.0,1996-10-26,Zagueiro,Fortaleza
50,Yago,Pikachu,22.0,1990-07-31,Meio-Campo,Fortaleza
51,Roni,,5.0,1999-04-15,Meio-Campo,Atletico-Go
52,Jan,Hurtado,17.0,2000-03-05,Atacante,Atletico-Go
53,Benjamin,Kuscevic,13.0,1996-05-02,Zagueiro,Fortaleza
54,Alix,Vinicius,4.0,1992-09-21,Zagueiro,Atletico-Go
55,Gabriel,Baralhas,8.0,2000-04-28,Meio-Campo,Atletico-Go
56,Gabriel,Ferreira,1.0,1995-12-15,Goleiro,Juventude
57,Fellipe,Mateus,7.0,1991-02-12,Meio-Campo,Criciuma
58,Agustin,Marchesin,1.0,1990-07-24,Goleiro,Gremio
59,Neris,,77.0,1997-07-10,Zagueiro,Vitoria
60,Alan,Palma,23.0,1992-04-04,Meio-Campo,Atletico-Mg
