data,hora,n_placar_visitante,n_placar_casa,c_nome_estadio,c_time_casa,c_time_visitante,n_rodada,d_ano_campeonato,c_nome_campeonato
2014-04-19,18:28,0,3,Maracanã,Fluminense,Figueirense,1,2014,Brasileirão 2014
2014-04-19,18:31,0,1,Estádio José Pinheiro Borda,Internacional,Vitoria,1,2014,Brasileirão 2014
2014-04-19,20:59,0,0,Arena Condá,Chapecoense,Coritiba,1,2014,Brasileirão 2014
2014-04-20,15:58,2,1,Itaipava Arena Fonte Nova,Bahia,Cruzeiro,1,2014,Brasileirão 2014
2014-04-20,15:59,0,3,Morumbi,Sao Paulo,Botafogo-RJ,1,2014,Brasileirão 2014
2014-04-20,16:00,0,1,Orlando Scarpelli,Athletico-PR,Gremio,1,2014,Brasileirão 2014
2014-04-20,16:02,0,0,Estádio Municipal Parque do Sabiá,Atletico-MG,Corinthians,1,2014,Brasileirão 2014
2014-04-20,18:28,0,0,Estádio Nacional de Brasília,Flamengo,Goias,1,2014,Brasileirão 2014
2014-04-20,18:31,1,1,Estádio Urbano Caldeira,Santos,Sport,1,2014,Brasileirão 2014
2014-04-20,18:33,2,1,Estádio Heriberto Hülse,Criciuma,Palmeiras,1,2014,Brasileirão 2014
2014-04-26,18:32,0,0,Couto Pereira,Coritiba,Santos,2,2014,Brasileirão 2014
2014-04-26,21:00,1,0,Estádio Municipal Paulo Machado de Carvalho,Palmeiras,Fluminense,2,2014,Brasileirão 2014
2014-04-27,16:00,2,2,Estádio de Pituaçu,Vitoria,Athletico-PR,2,2014,Brasileirão 2014
2014-04-27,16:00,1,1,Estádio Municipal Parque do Sabiá,Cruzeiro,Sao Paulo,2,2014,Brasileirão 2014
2014-04-27,16:01,2,2,Maracanã,Botafogo-RJ,Internacional,2,2014,Brasileirão 2014
2014-04-27,16:02,0,2,Estádio Municipal Paulo Machado de Carvalho,Corinthians,Flamengo,2,2014,Brasileirão 2014
2014-04-27,18:29,1,2,Adelmar da Costa Carvalho,Sport,Chapecoense,2,2014,Brasileirão 2014
2014-04-27,18:30,2,0,Arena Barueri,Figueirense,Bahia,2,2014,Brasileirão 2014
2014-04-27,18:31,1,2,Arena do Grêmio,Gremio,Atletico-MG,2,2014,Brasileirão 2014
2014-04-27,18:32,0,1,Estádio Municipal Juscelino Kubitschek,Goias,Criciuma,2,2014,Brasileirão 2014
2014-05-03,18:27,3,2,Estádio Nacional de Brasília,Athletico-PR,Cruzeiro,3,2014,Brasileirão 2014
2014-05-03,18:30,0,0,Estádio Urbano Caldeira,Santos,Gremio,3,2014,Brasileirão 2014
2014-05-03,18:32,2,2,Estádio Municipal Paulo Machado de Carvalho,Sao Paulo,Coritiba,3,2014,Brasileirão 2014
2014-05-03,20:59,2,1,Maracanã,Fluminense,Vitoria,3,2014,Brasileirão 2014
2014-05-04,15:59,0,1,Estádio Heriberto Hülse,Criciuma,Figueirense,3,2014,Brasileirão 2014
2014-05-04,16:01,2,4,Maracanã,Flamengo,Palmeiras,3,2014,Brasileirão 2014
2014-05-04,16:02,0,1,Itaipava Arena Fonte Nova,Bahia,Botafogo-RJ,3,2014,Brasileirão 2014
2014-05-04,16:04,1,2,Estádio José Pinheiro Borda,Internacional,Sport,3,2014,Brasileirão 2014
2014-05-04,18:28,1,0,Arena Condá,Chapecoense,Corinthians,3,2014,Brasileirão 2014
2014-05-04,18:29,1,0,Estádio Raimundo Sampaio,Atletico-MG,Goias,3,2014,Brasileirão 2014
2014-05-10,18:31,0,2,Estádio Municipal Paulo Machado de Carvalho,Palmeiras,Goias,4,2014,Brasileirão 2014
2014-05-10,18:32,1,2,Estádio José Pinheiro Borda,Internacional,Athletico-PR,4,2014,Brasileirão 2014
2014-05-10,21:01,0,6,Maracanã,Botafogo-RJ,Criciuma,4,2014,Brasileirão 2014
