n_placar_visitante,n_placar_casa,c_time_casa,c_time_visitante,dt_data_horario,d_ano_campeonato,c_nome_campeonato,n_rodada
3,0,Fulham,Arsenal,2020-09-12 12:30:00,2021,Premier League 2020-2021,1
0,1,Crystal Palace,Southampton,2020-09-12 15:00:00,2021,Premier League 2020-2021,1
3,4,Liverpool,Leeds,2020-09-12 17:30:00,2021,Premier League 2020-2021,1
2,0,West Ham,Newcastle,2020-09-12 20:00:00,2021,Premier League 2020-2021,1
3,0,West Brom,Leicester,2020-09-13 14:00:00,2021,Premier League 2020-2021,1
1,0,Tottenham,Everton,2020-09-13 16:30:00,2021,Premier League 2020-2021,1
2,0,Sheffield United,Wolves,2020-09-14 18:00:00,2021,Premier League 2020-2021,1
3,1,Brighton,Chelsea,2020-09-14 20:15:00,2021,Premier League 2020-2021,1
2,5,Everton,West Brom,2020-09-19 12:30:00,2021,Premier League 2020-2021,1
3,4,Leeds,Fulham,2020-09-19 15:00:00,2021,Premier League 2020-2021,1
3,1,Man United,Crystal Palace,2020-09-19 17:30:00,2021,Premier League 2020-2021,2
1,2,Arsenal,West Ham,2020-09-19 20:00:00,2021,Premier League 2020-2021,2
5,2,Southampton,Tottenham,2020-09-20 12:00:00,2021,Premier League 2020-2021,2
3,0,Newcastle,Brighton,2020-09-20 14:00:00,2021,Premier League 2020-2021,2
2,0,Chelsea,Liverpool,2020-09-20 16:30:00,2021,Premier League 2020-2021,2
2,4,Leicester,Burnley,2020-09-20 19:00:00,2021,Premier League 2020-2021,2
0,1,Aston Villa,Sheffield United,2020-09-21 18:00:00,2021,Premier League 2020-2021,2
3,1,Wolves,Man City,2020-09-21 20:15:00,2021,Premier League 2020-2021,2
3,2,Brighton,Man United,2020-09-26 12:30:00,2021,Premier League 2020-2021,2
2,1,Crystal Palace,Everton,2020-09-26 15:00:00,2021,Premier League 2020-2021,2
3,3,West Brom,Chelsea,2020-09-26 17:30:00,2021,Premier League 2020-2021,3
1,0,Burnley,Southampton,2020-09-26 20:00:00,2021,Premier League 2020-2021,3
1,0,Sheffield United,Leeds,2020-09-27 12:00:00,2021,Premier League 2020-2021,3
1,1,Tottenham,Newcastle,2020-09-27 14:00:00,2021,Premier League 2020-2021,3
5,2,Man City,Leicester,2020-09-27 16:30:00,2021,Premier League 2020-2021,3
0,4,West Ham,Wolves,2020-09-27 19:00:00,2021,Premier League 2020-2021,3
3,0,Fulham,Aston Villa,2020-09-28 17:45:00,2021,Premier League 2020-2021,3
1,3,Liverpool,Arsenal,2020-09-28 20:00:00,2021,Premier League 2020-2021,3
0,4,Chelsea,Crystal Palace,2020-10-03 12:30:00,2021,Premier League 2020-2021,3
2,4,Everton,Brighton,2020-10-03 15:00:00,2021,Premier League 2020-2021,3
1,1,Leeds,Man City,2020-10-03 17:30:00,2021,Premier League 2020-2021,4
1,3,Newcastle,Burnley,2020-10-03 20:00:00,2021,Premier League 2020-2021,4
0,2,Southampton,West Brom,2020-10-04 12:00:00,2021,Premier League 2020-2021,4
3,0,Leicester,West Ham,2020-10-04 12:00:00,2021,Premier League 2020-2021,4
1,2,Arsenal,Sheffield United,2020-10-04 14:00:00,2021,Premier League 2020-2021,4
0,1,Wolves,Fulham,2020-10-04 14:00:00,2021,Premier League 2020-2021,4
6,1,Man United,Tottenham,2020-10-04 16:30:00,2021,Premier League 2020-2021,4
2,7,Aston Villa,Liverpool,2020-10-04 19:15:00,2021,Premier League 2020-2021,4
2,2,Everton,Liverpool,2020-10-17 12:30:00,2021,Premier League 2020-2021,4
3,3,Chelsea,Southampton,2020-10-17 15:00:00,2021,Premier League 2020-2021,4
0,1,Man City,Arsenal,2020-10-17 17:30:00,2021,Premier League 2020-2021,5
4,1,Newcastle,Man United,2020-10-17 20:00:00,2021,Premier League 2020-2021,5
1,1,Sheffield United,Fulham,2020-10-18 12:00:00,2021,Premier League 2020-2021,5
1,1,Crystal Palace,Brighton,2020-10-18 14:00:00,2021,Premier League 2020-2021,5
3,3,Tottenham,West Ham,2020-10-18 16:30:00,2021,Premier League 2020-2021,5
1,0,Leicester,Aston Villa,2020-10-18 19:15:00,2021,Premier League 2020-2021,5
0,0,West Brom,Burnley,2020-10-19 17:30:00,2021,Premier League 2020-2021,5
1,0,Leeds,Wolves,2020-10-19 20:00:00,2021,Premier League 2020-2021,5
3,0,Aston Villa,Leeds,2020-10-23 20:00:00,2021,Premier League 2020-2021,5
1,1,West Ham,Man City,2020-10-24 12:30:00,2021,Premier League 2020-2021,5
2,1,Fulham,Crystal Palace,2020-10-24 15:00:00,2021,Premier League 2020-2021,6
0,0,Man United,Chelsea,2020-10-24 17:30:00,2021,Premier League 2020-2021,6
