c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
DOUGLAS,MOREIRA,17,,MEIO-CAMPO,Gremio
HUGO,SOUZA,1,,GOLEIRO,Corinthians
REINALDO,SILVA,6,,ZAGUEIRO,Gremio
JOSÉ,MARTÍNEZ,70,,MEIO-CAMPO,Corinthians
ANDRÉ,CARRILLO,19,,MEIO-CAMPO,Corinthians
MATHEUS,BIDU,21,,ZAGUEIRO,Corinthians
MIGUEL,MONSALVE,11,,MEIO-CAMPO,Gremio
BRAHIAN,PALACIOS,30,,ATACANTE,Atletico-MG
IGOR,GOMES,17,,MEIO-CAMPO,Atletico-MG
AGUSTÍN,CANOBBIO,14,,MEIO-CAMPO,Athletico-PR
THIAGO,HELENO,44,,ZAGUEIRO,Athletico-PR
ÉVERSON,,22,,GOLEIRO,Atletico-MG
CARLOS,SOUZA,96,,ATACANTE,Vitoria
LUCAS,SOUZA,43,,ZAGUEIRO,Vitoria
ADRIEL,,23,,GOLEIRO,Bahia
YAGO,ROCHA,20,,MEIO-CAMPO,Bahia
GONZALO,FREITAS,5,,MEIO-CAMPO,Atletico-GO
NICOLÁS,ACEVEDO,26,,MEIO-CAMPO,Bahia
EVERALDO,STUM,9,,ATACANTE,Bahia
KAIKI,BRUNO,6,,ZAGUEIRO,Cruzeiro
GABRIEL,VERON,30,,MEIO-CAMPO,Cruzeiro
ALAN,RUSCHEL,28,,ZAGUEIRO,Juventude
MARCELO,FILHO,11,,ATACANTE,Juventude
MATHEUS,PEREIRA,10,,ATACANTE,Cruzeiro
LUCAS,BARBOSA,21,,MEIO-CAMPO,Juventude
WALTER,ARTUNE,1,,GOLEIRO,Cuiaba
RAMON,LIMA,23,,ZAGUEIRO,Cuiaba
FACUNDO,BERNAL,5,,MEIO-CAMPO,Fluminense
KENO,,11,,ATACANTE,Fluminense
ELIEL,,11,,MEIO-CAMPO,Cuiaba
ALAN,EMPEREUR,33,,ZAGUEIRO,Cuiaba
KEVIN,SERNA,90,,MEIO-CAMPO,Fluminense
VINICINHO,,54,,MEIO-CAMPO,Bragantino
JADSOM,,5,,MEIO-CAMPO,Bragantino
PEDRO,GONÇALVES,14,,ZAGUEIRO,Bragantino
MATHEUS,FERNANDES,35,,MEIO-CAMPO,Bragantino
EDUARDO,SASHA,19,,ATACANTE,Bragantino
FERNANDINHO,,5,,MEIO-CAMPO,Athletico-PR
MARLON,XAVIER,3,,ZAGUEIRO,Cruzeiro
ANDERSON,,98,,GOLEIRO,Cruzeiro
VITOR,REIS,44,,ZAGUEIRO,Palmeiras
IVALDO,,5,,ZAGUEIRO,Cruzeiro
ALEXANDER,BARBOZA,20,,ZAGUEIRO,Botafogo-RJ
SERGIO,ROCHET,1,,GOLEIRO,Internacional
ALEXANDRO,BERNABEI,26,,ZAGUEIRO,Internacional
RAUL,,97,,GOLEIRO,Botafogo-RJ
BRUNO,CORSINI,8,,MEIO-CAMPO,Internacional
WESLEY,SILVA,21,,MEIO-CAMPO,Internacional
WANDERSON,,11,,ATACANTE,Internacional
